condition,interaction_index,item_id,participant_id,questionnaire_id,run_session_id,value
A,1,closeness_comfort,test,5,exp-6226a8111382d9bf,4
A,1,closeness_connected,test,5,exp-6226a8111382d9bf,4
A,1,closeness_warm,test,5,exp-6226a8111382d9bf,4
A,1,ctx_dependable,test,5,exp-6226a8111382d9bf,4
A,1,ctx_knew_me,test,5,exp-6226a8111382d9bf,4
A,1,ctx_trust,test,5,exp-6226a8111382d9bf,4
A,1,ctx_understood,test,5,exp-6226a8111382d9bf,4
A,1,fam_familiar,test,5,exp-6226a8111382d9bf,4
A,1,fam_implicit,test,5,exp-6226a8111382d9bf,4
A,1,fam_recognizable,test,5,exp-6226a8111382d9bf,4
A,1,fam_someone,test,5,exp-6226a8111382d9bf,4
A,1,fam_style,test,5,exp-6226a8111382d9bf,4
A,1,gs_anim_apathetic,test,5,exp-6226a8111382d9bf,3
A,1,gs_anim_artificial,test,5,exp-6226a8111382d9bf,3
A,1,gs_anim_dead,test,5,exp-6226a8111382d9bf,3
A,1,gs_anim_inert,test,5,exp-6226a8111382d9bf,3
A,1,gs_anim_mechanical,test,5,exp-6226a8111382d9bf,3
A,1,gs_anim_stagnant,test,5,exp-6226a8111382d9bf,3
A,1,gs_anthro_artificial,test,5,exp-6226a8111382d9bf,3
A,1,gs_anthro_fake,test,5,exp-6226a8111382d9bf,3
A,1,gs_anthro_machine,test,5,exp-6226a8111382d9bf,3
A,1,gs_anthro_rigid,test,5,exp-6226a8111382d9bf,3
A,1,gs_anthro_unconscious,test,5,exp-6226a8111382d9bf,3
A,1,gs_intel_foolish,test,5,exp-6226a8111382d9bf,3
A,1,gs_intel_ignorant,test,5,exp-6226a8111382d9bf,3
A,1,gs_intel_incompetent,test,5,exp-6226a8111382d9bf,3
A,1,gs_intel_irresponsible,test,5,exp-6226a8111382d9bf,3
A,1,gs_intel_unintelligent,test,5,exp-6226a8111382d9bf,3
A,1,gs_like_dislike,test,5,exp-6226a8111382d9bf,3
A,1,gs_like_unfriendly,test,5,exp-6226a8111382d9bf,3
A,1,gs_like_unkind,test,5,exp-6226a8111382d9bf,3
A,1,gs_like_unpleasant,test,5,exp-6226a8111382d9bf,3
A,1,gs_safe_agitated,test,5,exp-6226a8111382d9bf,3
A,1,gs_safe_anxious,test,5,exp-6226a8111382d9bf,3
A,1,gs_safe_quiescent,test,5,exp-6226a8111382d9bf,3
A,1,sam_arousal,test,5,exp-6226a8111382d9bf,5
A,1,sam_dominance,test,5,exp-6226a8111382d9bf,5
A,1,sam_valence,test,5,exp-6226a8111382d9bf,5
A,1,closeness_comfort,pf002,6,exp-70d0b68738d7b9b3,2
A,1,closeness_connected,pf002,6,exp-70d0b68738d7b9b3,2
A,1,closeness_warm,pf002,6,exp-70d0b68738d7b9b3,1
A,1,ctx_dependable,pf002,6,exp-70d0b68738d7b9b3,7
A,1,ctx_knew_me,pf002,6,exp-70d0b68738d7b9b3,6
A,1,ctx_trust,pf002,6,exp-70d0b68738d7b9b3,3
A,1,ctx_understood,pf002,6,exp-70d0b68738d7b9b3,5
A,1,fam_familiar,pf002,6,exp-70d0b68738d7b9b3,5
A,1,fam_implicit,pf002,6,exp-70d0b68738d7b9b3,4
A,1,fam_recognizable,pf002,6,exp-70d0b68738d7b9b3,6
A,1,fam_someone,pf002,6,exp-70d0b68738d7b9b3,6
A,1,fam_style,pf002,6,exp-70d0b68738d7b9b3,3
A,1,gs_anim_apathetic,pf002,6,exp-70d0b68738d7b9b3,5
A,1,gs_anim_artificial,pf002,6,exp-70d0b68738d7b9b3,1
A,1,gs_anim_dead,pf002,6,exp-70d0b68738d7b9b3,4
A,1,gs_anim_inert,pf002,6,exp-70d0b68738d7b9b3,4
A,1,gs_anim_mechanical,pf002,6,exp-70d0b68738d7b9b3,2
A,1,gs_anim_stagnant,pf002,6,exp-70d0b68738d7b9b3,4
A,1,gs_anthro_artificial,pf002,6,exp-70d0b68738d7b9b3,2
A,1,gs_anthro_fake,pf002,6,exp-70d0b68738d7b9b3,2
A,1,gs_anthro_machine,pf002,6,exp-70d0b68738d7b9b3,2
A,1,gs_anthro_rigid,pf002,6,exp-70d0b68738d7b9b3,4
A,1,gs_anthro_unconscious,pf002,6,exp-70d0b68738d7b9b3,2
